id,time,type,resource_type,resource_id,quantity,origin,destination
10,5.786000062737716,DEMAND_ARRIVAL,unknown,D10,99,,C
7,9.81790362261085,DEMAND_ARRIVAL,unknown,D7,21,,B
14,11.917903622610849,BARGE_LOADING_COMPLETE,unknown,B1,0,A,
9,14.62854614724913,DEMAND_ARRIVAL,unknown,D9,23,,A
13,15.686000062737715,BARGE_LOADING_COMPLETE,unknown,B2,0,A,
15,15.686000062737715,BARGE_DEPARTURE,unknown,B2,0,,
16,25.680581274590068,BARGE_ARRIVAL,unknown,B2,0,C,
6,29.766997109457467,DEMAND_ARRIVAL,unknown,D6,19,,B
17,31.666997109457466,BARGE_LOADING_COMPLETE,unknown,B2,0,C,
8,33.02219509960027,DEMAND_ARRIVAL,unknown,D8,60,,A
18,39.02219509960027,BARGE_LOADING_COMPLETE,unknown,B4,0,B,
1,39.75960898652642,DEMAND_ARRIVAL,unknown,D1,53,,A
4,42.34652120939403,DEMAND_ARRIVAL,unknown,D4,88,,A
3,43.66718108351295,DEMAND_ARRIVAL,unknown,D3,22,,B
19,45.05960898652642,BARGE_LOADING_COMPLETE,unknown,B2,0,C,
20,45.86718108351295,BARGE_LOADING_COMPLETE,unknown,B1,0,A,
2,48.97248164111004,DEMAND_ARRIVAL,unknown,D2,88,,B
5,58.957609730997866,DEMAND_ARRIVAL,unknown,D5,35,,A
21,62.457609730997866,BARGE_LOADING_COMPLETE,unknown,B4,0,B,
