origin,destination,distance,travel_time
A,B,97.52326936368229,8.12693911364019
A,C,56.231747251362385,4.685978937613532
A,D,16.667695322001567,1.3889746101667972
A,E,47.614636525211544,3.967886377100962
B,A,27.9855761741079,2.332131347842325
B,C,28.718613775678634,2.393217814639886
B,D,34.26418732110204,2.85534894342517
B,E,93.05369934998869,7.754474945832391
C,A,99.03573622099184,8.252978018415986
C,B,52.88492848265368,4.407077373554473
C,D,35.89543604173334,2.9912863368111116
C,E,46.85266012801937,3.9043883440016143
D,A,56.05927019018498,4.6716058491820815
D,B,53.32377253031077,4.4436477108592305
D,C,32.262765753715826,2.6885638128096523
D,E,99.55293021727759,8.296077518106467
E,A,39.02415568415549,3.252012973679624
E,B,92.30620051976389,7.692183376646991
E,C,72.71568152997145,6.05964012749762
E,D,96.6687887387095,8.055732394892457
