demand_id,origin,destination,volume,availability_time,due_date,priority,urgency
D1,A,B,42,5.957185570130821,23.930396035309883,2,medium
D2,C,A,32,46.582271074840385,58.01381561587775,2,medium
D3,B,A,96,17.719711478193993,33.04371100803667,1,medium
D4,C,A,75,34.71718938107967,64.46896771937196,2,low
D5,B,C,52,37.41950503142859,50.8596340714844,2,high
D6,A,C,86,1.983303796755831,13.394630136539336,1,low
D7,C,A,35,24.305144663225676,52.949543544400754,3,low
D8,C,A,95,35.95477824525859,65.93692703964314,2,low
D9,C,B,69,22.391244604965177,46.70025156382458,2,high
D10,C,B,44,45.39867101968934,68.6163035831243,3,low
