t_resa	cat	orig	dest	anticipe	urgente	t_avl	t_due	vol	fare	decision
0	F	1	3	1	0	2	20	5	2	1
0	F	3	0	0	0	18	36	3	1	1
0	R	0	2	0	0	11	28	1	1	1
0	R	3	0	0	1	8	23	2	2	0
0	P	2	3	0	0	11	19	4	1	0
0	R	2	3	1	0	1	9	3	2	1
0	F	0	2	1	1	5	12	3	4	0
0	R	1	0	1	1	2	6	3	4	0
0	F	0	1	0	1	9	12	2	2	0
0	R	2	1	1	0	3	10	4	2	0
0	F	3	2	1	0	5	11	1	2	1
0	F	2	3	0	1	8	13	1	2	0
0	R	2	1	0	0	14	23	3	1	0
0	F	3	2	1	0	4	10	1	2	1
0	F	3	1	1	1	3	13	1	4	1
0	R	0	2	1	0	2	16	4	2	0
0	P	2	3	1	0	4	14	5	2	1
0	P	0	1	1	0	3	13	4	2	0
0	R	2	0	0	1	20	27	2	2	1
1	P	3	0	1	1	2	17	1	4	1
1	P	3	1	0	0	10	30	2	1	1
1	F	3	1	1	1	5	12	1	4	1
1	F	3	2	0	0	12	22	4	1	0
1	R	3	2	0	0	13	21	2	1	0
1	P	2	1	1	0	3	10	5	2	0
1	P	3	0	0	0	8	25	5	1	0
1	P	1	2	1	0	4	11	1	2	0
1	F	3	1	0	1	14	19	2	2	0
1	F	2	3	1	1	2	7	1	4	1
1	F	2	0	0	1	16	21	4	2	0
1	F	0	1	0	1	17	19	1	2	0
1	R	1	3	1	0	4	17	1	2	0
1	R	2	1	0	1	21	26	3	2	1
2	F	1	2	0	1	20	22	5	2	0
2	R	1	0	1	0	5	14	1	2	1
2	R	0	3	0	0	14	37	5	1	1
2	F	3	1	0	1	13	18	3	2	0
2	P	1	3	1	1	6	9	1	4	0
2	R	1	3	1	0	6	17	2	2	0
2	P	1	2	1	0	3	13	3	2	0
2	F	1	3	0	1	16	26	3	2	1
2	P	0	2	1	1	4	10	3	4	0
2	F	1	0	1	1	3	7	5	4	0
2	F	1	2	0	0	13	20	5	1	1
2	P	2	0	1	1	3	9	2	4	0
2	R	1	2	0	1	21	26	1	2	0
2	F	1	3	1	0	7	25	4	2	1
2	R	2	0	1	1	5	13	5	4	1
2	F	2	3	0	1	15	19	1	2	0
2	P	3	2	0	0	20	29	1	1	1
3	R	2	0	0	1	11	15	4	2	0
3	P	0	3	0	0	10	29	5	1	1
3	F	2	0	1	0	5	21	4	2	1
3	P	3	0	0	0	10	33	4	1	1
3	F	0	1	0	0	16	22	4	1	0
3	R	0	2	1	1	6	11	3	4	0
3	F	3	1	0	1	22	28	5	2	0
3	R	2	1	0	0	17	26	2	1	1
3	R	1	2	1	1	8	12	2	4	0
3	F	0	2	1	0	7	27	4	2	1
4	F	3	1	1	1	6	15	3	4	1
4	F	0	2	0	1	14	20	2	2	1
4	R	1	3	1	1	8	12	3	4	0
4	F	1	3	1	1	6	14	5	4	0
4	R	1	2	0	0	24	34	2	1	1
4	F	1	0	1	1	6	8	2	4	0
4	F	2	3	0	1	20	25	4	2	0
4	P	3	2	1	1	9	13	4	4	0
4	P	1	2	0	1	14	18	3	2	1
4	P	3	2	1	0	6	12	4	2	1
4	R	0	1	0	0	23	30	1	1	1
4	R	2	1	1	1	9	12	1	4	1
4	R	0	1	1	1	5	9	4	4	0
4	F	1	0	1	0	9	18	1	2	1
4	F	2	1	0	1	14	16	3	2	0
4	F	1	0	1	1	6	10	4	4	0
5	F	3	0	1	1	9	13	3	4	0
5	R	1	3	1	1	10	14	4	4	0
5	F	3	2	0	0	12	22	3	1	0
5	F	2	3	1	1	7	9	5	4	0
5	R	3	0	0	0	14	31	4	1	1
5	P	1	2	1	1	10	14	1	4	0
5	P	0	1	1	0	8	16	1	2	1
5	R	1	3	0	1	20	27	4	2	0
5	P	0	3	0	0	13	29	1	1	1
5	R	2	0	1	0	8	21	4	2	1
6	P	2	1	1	1	9	14	3	4	1
6	F	2	0	0	1	17	22	3	2	0
6	R	3	1	0	0	18	38	5	1	1
6	F	0	3	0	1	15	21	1	2	0
6	P	3	1	1	0	10	22	3	2	0
6	F	0	1	1	1	10	15	3	4	0
6	F	3	2	0	1	22	25	1	2	0
6	F	0	1	1	0	8	14	5	2	0
6	R	1	0	0	1	21	24	2	2	0
6	P	0	3	0	0	25	55	3	1	1
6	F	3	0	1	0	10	35	2	2	1
7	R	3	1	1	0	12	27	5	2	1
7	P	3	0	1	1	10	22	5	4	0
7	F	1	2	0	0	20	29	2	1	0
7	R	2	0	1	0	9	20	1	2	1
7	R	1	3	1	0	10	28	2	2	1
8	F	2	3	0	0	16	22	1	1	1
8	P	2	3	1	0	9	15	3	2	0
8	R	1	0	0	1	17	20	4	2	0
8	F	3	0	1	0	13	38	2	2	1
8	F	2	1	0	1	16	18	3	2	0
8	F	3	0	0	0	16	37	1	1	1
8	P	0	3	0	1	20	28	3	2	0
8	F	0	1	1	0	12	18	2	2	1
8	P	3	0	1	0	12	39	4	2	1
8	R	1	3	1	0	10	30	2	2	1
8	F	2	1	1	0	12	20	1	2	0
8	R	1	2	0	0	27	36	4	1	1
9	R	0	3	1	1	13	28	2	4	1
9	P	3	0	1	0	13	37	1	2	1
9	R	2	1	0	1	28	33	3	2	0
9	R	3	1	1	0	11	29	5	2	1
9	P	3	1	1	1	13	22	5	4	0
9	F	1	3	1	0	14	32	2	2	1
9	P	2	3	1	1	14	17	2	4	0
10	P	3	0	0	0	20	45	4	1	1
10	F	0	3	0	1	19	32	3	2	0
10	P	3	1	1	1	11	18	1	4	0
10	F	3	1	1	0	11	24	5	2	0
10	F	3	2	1	1	13	15	3	4	0
10	F	1	0	0	1	27	31	2	2	0
10	F	3	1	1	1	14	17	3	4	0
