id_service	periode	id_leg	capacite	cap_resid
0	0	0	50	50
0	0	1	50	50
0	0	2	50	41
0	1	0	50	20
0	1	1	50	0
0	1	2	50	12
0	2	0	50	20
0	2	1	50	0
0	2	2	50	18
0	3	0	50	6
0	3	1	50	2
0	3	2	50	0
0	4	0	50	19
0	4	1	50	0
0	4	2	50	10
0	5	0	50	20
0	5	1	50	0
0	5	2	50	0
0	6	0	50	0
0	6	1	50	0
0	6	2	50	9
0	7	0	50	16
0	7	1	50	0
0	7	2	50	11
0	8	0	50	26
0	8	1	50	20
0	8	2	50	17
0	9	0	50	42
0	9	1	50	42
0	9	2	50	42
0	10	0	50	50
0	10	1	50	50
0	10	2	50	50
0	11	0	50	50
0	11	1	50	50
0	11	2	50	50
1	0	3	50	38
1	0	4	50	26
1	0	5	50	40
1	0	5	50	43
1	1	3	50	0
1	1	4	50	0
1	1	5	50	41
1	1	5	50	27
1	2	3	50	5
1	2	4	50	0
1	2	5	50	22
1	2	5	50	41
1	3	3	50	0
1	3	4	50	0
1	3	5	50	21
1	3	5	50	32
1	4	3	50	0
1	4	4	50	0
1	4	5	50	27
1	4	5	50	37
1	5	3	50	0
1	5	4	50	0
1	5	5	50	29
1	5	5	50	34
1	6	3	50	0
1	6	4	50	0
1	6	5	50	16
1	6	5	50	29
1	7	3	50	0
1	7	4	50	0
1	7	5	50	34
1	7	5	50	34
1	8	3	50	31
1	8	4	50	26
1	8	5	50	45
1	8	5	50	39
1	9	3	50	50
1	9	4	50	50
1	9	5	50	49
1	9	5	50	50
1	10	3	50	50
1	10	4	50	50
1	10	5	50	50
1	10	5	50	50
1	11	3	50	50
1	11	4	50	50
1	11	5	50	50
1	11	5	50	50
